measure label,year,state,county,fips,value,numerator,denominator
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Union County,34039,0.065331221,13163,201481
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Jersey,Warren County,34041,0.070602998,3207,45423
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,Bernalillo County,35001,0.083653994,24175,288988
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,Chaves County,35005,0.150837362,4026,26691
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,Doña Ana County,35013,0.110656902,9366,84640
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,Lea County,35025,0.170720264,4366,25574
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,McKinley County,35031,0.22677128,5838,25744
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,Otero County,35035,0.21584478,6675,30925
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,San Juan County,35045,0.128375515,6375,49659
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,Sandoval County,35043,0.128267944,7016,54698
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,Santa Fe County,35049,0.148225442,10654,71877
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New Mexico,Valencia County,35061,0.09216971,2785,30216
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Albany County,36001,0.105307169,14608,138718
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Bronx County,36005,0.052255433,27368,523735
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Broome County,36007,0.117792726,10560,89649
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Cattaraugus County,36009,0.226465344,9269,40929
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Cayuga County,36011,0.126264974,4604,36463
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Chautauqua County,36013,0.219962806,14668,66684
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Chemung County,36015,0.089481786,3431,38343
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Clinton County,36019,0.127537116,4587,35966
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Dutchess County,36027,0.103262328,12313,119240
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Erie County,36029,0.089693479,37838,421859
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Jefferson County,36045,0.255255461,15093,59129
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Kings County,36047,0.080385841,82461,1025815
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Livingston County,36051,0.112215444,3071,27367
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Madison County,36053,0.170398369,5411,31755
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Monroe County,36055,0.078928903,25641,324862
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Nassau County,36059,0.062667347,29256,466846
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,New York County,36061,0.096931793,84320,869890
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Niagara County,36063,0.14237152,14114,99135
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Oneida County,36065,0.127751559,13267,103850
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Onondaga County,36067,0.106587321,21852,205015
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Ontario County,36069,0.11225757,5603,49912
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Orange County,36071,0.103471868,14517,140299
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Oswego County,36075,0.148914769,7993,53675
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Putnam County,36079,0.100858316,3866,38331
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Queens County,36081,0.080265835,68190,849552
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Rensselaer County,36083,0.125133932,8993,71867
Percentage of Total Housing Units that are Vacant (1y Avg.),2015, New York,Richmond County,36085,0.064150266,11482,178986
