measure label,year,state,county,fips,perc_vacant_housing_1y2013,numerator,denominator
perc_vacant_housing_1y,2013, Puerto Rico,Trujillo Alto Municipio,72139,0.149121597,4346,29144
perc_vacant_housing_1y,2013, Rhode Island,Kent County,44003,0.055599421,4084,73454
perc_vacant_housing_1y,2013, Rhode Island,Newport County,44005,0.109968111,4586,41703
perc_vacant_housing_1y,2013, Rhode Island,Providence County,44007,0.098404326,25895,263149
perc_vacant_housing_1y,2013, Rhode Island,Washington County,44009,0.186331838,11664,62598
perc_vacant_housing_1y,2013, South Carolina,Aiken County,45003,0.139997542,10253,73237
perc_vacant_housing_1y,2013, South Carolina,Anderson County,45007,0.106889345,9050,84667
perc_vacant_housing_1y,2013, South Carolina,Beaufort County,45013,0.274304748,25546,93130
perc_vacant_housing_1y,2013, South Carolina,Berkeley County,45015,0.10073033,7641,75856
perc_vacant_housing_1y,2013, South Carolina,Charleston County,45019,0.134616375,23523,174741
perc_vacant_housing_1y,2013, South Carolina,Darlington County,45031,,,30019
perc_vacant_housing_1y,2013, South Carolina,Dorchester County,45035,0.074420333,4211,56584
perc_vacant_housing_1y,2013, South Carolina,Florence County,45041,0.125247046,7351,58692
perc_vacant_housing_1y,2013, South Carolina,Greenville County,45045,0.107947379,21401,198254
perc_vacant_housing_1y,2013, South Carolina,Greenwood County,45047,0.104338273,3230,30957
perc_vacant_housing_1y,2013, South Carolina,Horry County,45051,0.361896574,68587,189521
perc_vacant_housing_1y,2013, South Carolina,Lancaster County,45057,0.124988496,4074,32595
perc_vacant_housing_1y,2013, South Carolina,Laurens County,45059,0.147706687,4486,30371
perc_vacant_housing_1y,2013, South Carolina,Lexington County,45063,0.102726065,12002,116835
perc_vacant_housing_1y,2013, South Carolina,Oconee County,45073,0.21207498,8202,38675
perc_vacant_housing_1y,2013, South Carolina,Orangeburg County,45075,0.207196891,8683,41907
perc_vacant_housing_1y,2013, South Carolina,Pickens County,45077,0.137877837,7061,51212
perc_vacant_housing_1y,2013, South Carolina,Richland County,45079,0.107708901,17778,165056
