state,county,value
Georgia,Clay,0.372
Georgia,Clayton,0.164
Georgia,Clinch,0.138
Georgia,Cobb,0.084
Georgia,Coffee,0.143
Georgia,Colquitt,0.132
Georgia,Columbia,0.124
Georgia,Cook,0.139
Georgia,Coweta,0.064
Georgia,Crawford,0.118
Georgia,Crisp,0.2
Georgia,Dade,0.152
Georgia,Dawson,0.211
Georgia,Decatur,0.137
Georgia,DeKalb,0.136
Georgia,Dodge,0.179
Georgia,Dooly,0.21
Georgia,Dougherty,0.127
Georgia,Douglas,0.096
Georgia,Early,0.17
Georgia,Echols,0.159
Georgia,Effingham,0.11
Georgia,Elbert,0.184
Georgia,Emanuel,0.193
Georgia,Evans,0.153
Georgia,Fannin,0.409
Georgia,Fayette,0.067
Georgia,Floyd,0.14
Georgia,Forsyth,0.111
Georgia,Franklin,0.188
Georgia,Fulton,0.154
Georgia,Gilmer,0.34
Georgia,Glascock,0.235
Georgia,Glynn,0.229
Georgia,Gordon,0.131
Georgia,Grady,0.127
Georgia,Greene,0.268
Georgia,Gwinnett,0.08
Georgia,Habersham,0.194
Georgia,Hall,0.111
Georgia,Hancock,0.475
Georgia,Haralson,0.129
Georgia,Harris,0.147
Georgia,Hart,0.225
Georgia,Heard,0.148
Georgia,Henry,0.094
Georgia,Houston,0.116
Georgia,Irwin,0.175
Georgia,Jackson,0.118
Georgia,Jasper,0.17
Georgia,Jeff Davis,0.165
Georgia,Jefferson,0.162
Georgia,Jenkins,0.251
Georgia,Johnson,0.204
Georgia,Jones,0.112
Georgia,Lamar,0.144
Georgia,Lanier,0.129
Georgia,Laurens,0.174
Georgia,Lee,0.039
Georgia,Liberty,0.153
Georgia,Lincoln,0.288
Georgia,Long,0.167
Georgia,Lowndes,0.117
Georgia,Lumpkin,0.145
Georgia,Macon,0.234
Georgia,Madison,0.165
Georgia,Marion,0.247
Georgia,McDuffie,0.119
Georgia,McIntosh,0.462
Georgia,Meriwether,0.186
Georgia,Miller,0.134
Georgia,Mitchell,0.09
Georgia,Monroe,0.113
Georgia,Montgomery,0.188
Georgia,Morgan,0.144
Georgia,Murray,0.116
Georgia,Muscogee,0.128
Georgia,Newton,0.099
Georgia,Oconee,0.08
Georgia,Oglethorpe,0.162
Georgia,Paulding,0.077
Georgia,Peach,0.133
