state,county,value
Indiana,Blackford,0.129
Indiana,Boone,0.08
Indiana,Brown,0.109
Indiana,Carroll,0.132
Indiana,Cass,0.122
Indiana,Clark,0.1
Indiana,Clay,0.096
Indiana,Clinton,0.105
Indiana,Crawford,0.106
Indiana,Daviess,0.113
Indiana,Dearborn,0.1
Indiana,Decatur,0.097
Indiana,DeKalb,0.098
Indiana,Delaware,0.107
Indiana,Dubois,0.104
Indiana,Elkhart,0.09
Indiana,Fayette,0.119
Indiana,Floyd,0.104
Indiana,Fountain,0.122
Indiana,Franklin,0.087
Indiana,Fulton,0.111
Indiana,Gibson,0.106
Indiana,Grant,0.135
Indiana,Greene,0.127
Indiana,Hamilton,0.062
Indiana,Hancock,0.086
Indiana,Harrison,0.114
Indiana,Hendricks,0.08
Indiana,Henry,0.131
Indiana,Howard,0.124
Indiana,Huntington,0.109
Indiana,Jackson,0.102
Indiana,Jasper,0.087
Indiana,Jay,0.117
Indiana,Jefferson,0.112
Indiana,Jennings,0.112
Indiana,Johnson,0.093
Indiana,Knox,0.127
Indiana,Kosciusko,0.103
Indiana,LaGrange,0.086
Indiana,Lake,0.104
Indiana,LaPorte,0.113
Indiana,Lawrence,0.123
Indiana,Madison,0.128
Indiana,Marion,0.088
Indiana,Marshall,0.12
Indiana,Martin,0.117
Indiana,Miami,0.096
Indiana,Monroe,0.081
Indiana,Montgomery,0.109
Indiana,Morgan,0.078
Indiana,Newton,0.107
Indiana,Noble,0.096
Indiana,Ohio,0.127
Indiana,Orange,0.118
Indiana,Owen,0.097
Indiana,Parke,0.107
Indiana,Perry,0.125
Indiana,Pike,0.106
Indiana,Porter,0.087
Indiana,Posey,0.09
Indiana,Pulaski,0.096
Indiana,Putnam,0.102
Indiana,Randolph,0.141
Indiana,Ripley,0.113
Indiana,Rush,0.104
Indiana,Scott,0.121
Indiana,Shelby,0.114
Indiana,Spencer,0.111
Indiana,St. Joseph,0.108
Indiana,Starke,0.112
Indiana,Steuben,0.092
Indiana,Sullivan,0.091
Indiana,Switzerland,0.109
Indiana,Tippecanoe,0.074
Indiana,Tipton,0.119
Indiana,Union,0.127
Indiana,Vanderburgh,0.114
Indiana,Vermillion,0.145
Indiana,Vigo,0.107
Indiana,Wabash,0.119
Indiana,Warren,0.128
Indiana,Warrick,0.085
Indiana,Washington,0.096
Indiana,Wayne,0.13
Indiana,Wells,0.132
Indiana,White,0.124
Indiana,Whitley,0.096
Iowa,Adair,0.155
Iowa,Adams,0.144
Iowa,Allamakee,0.135
Iowa,Appanoose,0.146
Iowa,Audubon,0.165
Iowa,Benton,0.118
Iowa,Black Hawk,0.118
Iowa,Boone,0.116
Iowa,Bremer,0.126
Iowa,Buchanan,0.112
Iowa,Buena Vista,0.135
Iowa,Butler,0.127
Iowa,Calhoun,0.174
Iowa,Carroll,0.156
Iowa,Cass,0.137
Iowa,Cedar,0.13
Iowa,Cerro Gordo,0.135
Iowa,Cherokee,0.137
Iowa,Chickasaw,0.12
Iowa,Clarke,0.155
Iowa,Clay,0.137
Iowa,Clayton,0.135
Iowa,Clinton,0.129
Iowa,Crawford,0.144
Iowa,Dallas,0.072
Iowa,Davis,0.123
Iowa,Decatur,0.14
Iowa,Delaware,0.112
Iowa,Des Moines,0.139
Iowa,Dickinson,0.119
Iowa,Dubuque,0.11
Iowa,Emmet,0.109
Iowa,Fayette,0.134
Iowa,Floyd,0.138
Iowa,Franklin,0.133
Iowa,Fremont,0.144
Iowa,Greene,0.149
Iowa,Grundy,0.134
Iowa,Guthrie,0.147
Iowa,Hamilton,0.131
Iowa,Hancock,0.14
Iowa,Hardin,0.172
Iowa,Harrison,0.131
Iowa,Henry,0.12
Iowa,Howard,0.154
Iowa,Humboldt,0.155
