year,county,state,copd_prev,asthma_prev,tobacco_prev,med_income_5y,perc_below_poverty_1y,perc_below_poverty_5y,unemployment_1y,unemployment_5y,num_days_rain,perc_cultivated_land_use,perc_forest_cover,perc_park_proximity,rural_urban,total_pollutants,acetaldehyde,benzene,formaldehyde,apc_percent_diff
2013,Nelson,NORTH DAKOTA,12,4,7,49839.0,,0.076871656,,0.016938519,112.0,0.471,0.005,0.43,2.0,7.7,0.76,0.2,0.57,-0.167955326
2014,Wharton,TEXAS,11,4,6,41992.0,,0.182042494,,0.075404577,96.0,0.492,0.043,0.07,2.0,9.0,1.76,0.26,1.41,0.162818236
2013,Penobscot,MAINE,13,5,12,43734.0,0.161429957,0.170396656,0.078154124,0.081804633,150.0,0.017,0.693,0.15,1.0,7.3,1.08,0.53,0.78,-0.004149378
2012,Jackson,GEORGIA,11,4,9,53393.0,,0.156465888,,0.07650809,130.0,0.002,0.448,0.01,2.0,10.5,2.96,0.42,2.22,-0.216290589
2014,Real,TEXAS,10,4,7,37019.0,,0.192425162,,0.117996603,85.0,0.0,0.459,0.02,2.0,6.6,2.08,0.13,1.63,-0.132890365
2013,Monroe,KENTUCKY,18,5,9,29808.0,,0.252054542,,0.091105357,133.0,0.038,0.543,0.01,2.0,9.7,2.28,0.27,1.6,-0.016190476
2013,Nye,NEVADA,14,4,9,39876.0,,0.189195499,,0.172978133,50.0,0.001,0.144,0.02,2.0,5.8,1.58,0.12,1.21,0.113621262
2014,Cascade,MONTANA,14,6,9,45091.0,0.133032277,0.144172236,0.037025347,0.051186945,95.0,0.211,0.178,0.72,1.0,6.6,1.14,0.43,0.81,0.020815265
2013,Barry,MISSOURI,12,4,10,38710.0,,0.191001937,,0.135296971,92.0,0.002,0.462,0.08,2.0,9.5,2.52,0.35,1.94,-0.156877323
2013,Sherman,TEXAS,10,2,8,48185.0,,0.136575609,,0.070508473,76.0,0.437,0.0,0.38,2.0,6.8,1.66,0.12,1.16,0.273752013
2012,San Saba,TEXAS,8,4,7,37230.0,,0.191252783,,0.060082305,67.0,0.029,0.239,0.0,2.0,7.3,2.27,0.26,1.75,-0.084016393
2013,Montgomery,MARYLAND,6,4,3,98221.0,0.068799734,0.067276739,0.061192531,0.063038357,150.0,0.108,0.28,0.84,1.0,10.9,2.33,1.07,1.93,-0.078686493
2013,San Juan,PUERTO RICO,8,9,1,22754.0,0.420811951,0.401397884,0.143771216,0.16061382,,,,,,,,,,0.057728119
2014,Churchill,NEVADA,14,4,11,46195.0,,0.168619931,,0.121217318,29.0,0.01,0.067,0.24,2.0,6.1,1.43,0.53,1.19,-0.038009675
2014,Gregory,SOUTH DAKOTA,11,3,4,37321.0,,0.192739427,,0.035542749,91.0,0.213,0.09,0.18,2.0,7.1,1.09,0.15,0.76,0.408360129
2014,Clay,KENTUCKY,25,4,23,22626.0,,0.356776983,,0.167953387,160.0,0.001,0.814,0.0,2.0,9.5,2.15,0.33,1.62,-0.107638889
2014,Susquehanna,PENNSYLVANIA,13,4,7,49948.0,,0.126781911,,0.080355011,159.0,0.119,0.641,0.0,2.0,8.5,1.32,0.38,0.87,0.036299766
2013,Kanawha,WEST VIRGINIA,14,5,12,46085.0,0.14762859,0.141249865,0.065506652,0.073690109,170.0,0.002,0.835,0.07,1.0,10.6,2.2,0.71,1.8,-0.082246171
2013,Morgan,GEORGIA,11,3,7,47729.0,,0.153715551,,0.081965275,117.0,0.004,0.499,0.08,1.0,10.5,3.21,0.4,2.38,0.009337068
2013,Owyhee,IDAHO,9,4,9,32175.0,,0.241513088,,0.128678709,98.0,0.023,0.033,0.01,1.0,7.5,1.21,0.21,0.94,-0.255451713
2013,Coleman,TEXAS,10,3,7,31373.0,,0.275917977,,0.060597356,72.0,0.073,0.04,0.02,2.0,7.1,2.43,0.25,1.84,-0.075432811
2013,Bergen,NEW JERSEY,9,5,4,83794.0,0.081516229,0.072256863,0.071379319,0.075508103,149.0,0.008,0.152,0.51,1.0,10.0,1.98,1.13,1.74,-0.073883162
2012,Autauga,ALABAMA,12,4,8,53773.0,,0.115510091,,0.083447076,112.0,0.077,0.507,0.2,1.0,10.8,3.59,0.54,2.87,-0.00812065
2012,Hawkins,TENNESSEE,16,4,15,36419.0,,0.164413407,,0.114761829,140.0,0.011,0.556,0.0,1.0,10.5,2.41,0.39,1.8,-0.120354964
2014,Jewell,KANSAS,10,2,5,41042.0,,0.139127567,,0.0282523,74.0,0.498,0.037,0.47,2.0,8.4,1.64,0.2,1.11,0.055374593
